"Date","Author","Action","Object","Case","Following request (Thread Context)","Occurrence (Status)","Original Message"
"2025-12-11","serhii_labur","Add","Email","Rate","@24x7 please add for partner LMS email","Pending","<@&1419360873071382639> please add for partner LMS email for rate notifications - yogesh.parab@lms.n..."
"2025-12-11","kate03646","Ask","Screenshot","General Request","No Thread","Pending","@24x7  please ask LT for ss..."
"2025-12-11","kate03646","Add","Email","Ticket","@24x7  please add yulia.kapuciian@","Pending","<@&1419360873071382639>  please add yulia.kapuciian@qoolize.com     to all rn, tt for qoolize..."
"2025-12-11","kate03646","Test","Screenshot","General Request","@24x7  please ask LT for ss","Resolved","<@&1419360873071382639>  please ask LT for ss  12500 12501 12502 12503 12504 it-decision just tested..."
"2025-12-10","serhii_labur","Add","Email","Rate","@24x7  please add for partner Mobeep","Pending","<@&1419360873071382639>  please add for partner Mobeep email for rate notifications - shubham@mobeep..."
"2025-12-10","dariakornitska","Other","Phone Number","DLR","@24x7 what happend to malawi? 0 dlr","Resolved","<@&1419360873071382639> what happend to malawi? 0 dlr..."
"2025-12-10","jadyahya_51832","Assign","Carriers","General Request","@24x7 please assign the following to","Resolved","<@&1419360873071382639> please assign the following to me :  macropyre broadnet chatlinks sigma..."
"2025-12-10","dariakornitska","Migration","Phone Number","Ticket","@Daria Kornitska [VXT-373-41242](http","Pending","<@1014788245244104757> [VXT-373-41242         ](http: //hd.xgsm.org/staff/index.php?/Tickets/Ticket/..."
"2025-12-10","jadyahya_51832","Block","Carriers","General Request","@24x7 please block vr telecom as","Resolved","<@&1419360873071382639> please block vr telecom as client..."
"2025-12-10","jadyahya_51832","Test","Route","Route","@24x7 please share with me uzbek","Pending","<@&1419360873071382639> please share with me uzbek numbers for testing the sim route..."
"2025-12-09","kate03646","Add","Phone Number","Fake","@24x7    пліз перевірте бистренбко з","Resolved","<@&1419360873071382639>    пліз перевірте бистренбко з вендорами знов якась муть з цим узбеком (  от..."
"2025-12-09","peperohka","Other","Tech nexa","Support","Tech nexa - russia - expired","Pending","Tech nexa - russia - expired..."
"2025-12-09","dariakornitska","Ask","Prefix","General Request","@sms_supp give me prefix pls for serbia","Pending","<@&966701229407367212> give me prefix pls for serbia telecom..."
