"Date","Author","Action","Object","Case","Following request (Thread Context)","Occurrence (Status)","Original Message"
"2025-12-11","serhii_labur","Add","Email","Rate","@24x7 please add for partner LMS email","In Thread","please add for partner LMS email for rate notifications - yogesh.parab@lms.net and remove - himanshu..."
"2025-12-11","kate03646","Ask","Screenshot","General Request","No Thread","Pending","@24x7  please ask LT for ss..."
"2025-12-11","kate03646","Add","Email","Ticket","@24x7  please add yulia.kapuciian@","In Thread","please add yulia.kapuciian@qoolize.com     to all rn, tt for qoolize..."
"2025-12-11","kate03646","Test","Screenshot","Testing","@24x7  please ask LT for ss","Resolved","please ask LT for ss  12500 12501 12502 12503 12504 it-decision just tested..."
"2025-12-10","serhii_labur","Add","Email","Rate","@24x7  please add for partner Mobeep","In Thread","please add for partner Mobeep email for rate notifications - shubham@mobeep.io..."
"2025-12-10","dariakornitska","Other","what happend to malawi? 0 dlr","DLR","@24x7 what happend to malawi? 0 dlr","Resolved","what happend to malawi? 0 dlr..."
"2025-12-10","jadyahya_51832","Assign","Carriers","General Request","@24x7 please assign the following to","Resolved","please assign the following to me :  macropyre broadnet chatlinks sigma..."
"2025-12-10","dariakornitska","Migration","N/A","Ticket","@Daria Kornitska [VXT-373-41242](http","In Thread","[VXT-373-41242         ](http: //hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36836/inbox/4/1/-1..."
"2025-12-10","jadyahya_51832","Block","Carriers","Spam/Block","@24x7 please block vr telecom as","Resolved","please block vr telecom as client..."
"2025-12-10","jadyahya_51832","Test","Route","Route","@24x7 please share with me uzbek","In Thread","please share with me uzbek numbers for testing the sim route..."
"2025-12-09","kate03646","Add","Phone Number","Fake","@24x7    пліз перевірте бистренбко з","Resolved","пліз перевірте бистренбко з вендорами знов якась муть з цим узбеком (  отримали скаргу, попросила но..."
"2025-12-09","peperohka","Other","Tech nexa","Support","Tech nexa - russia - expired","In Thread","Tech nexa - russia - expired..."
"2025-12-09","dariakornitska","Ask","Prefix","Prefix","@sms_supp give me prefix pls for serbia","In Thread","give me prefix pls for serbia telecom..."
"2025-12-09","peperohka","Other","General Support","Support","No Thread","Pending","@24x7 why is uzbek sim rejecting for..."
"2025-12-09","jadyahya_51832","Testing","Route","SS7","@24x7 is our libya al madar ss7 route","In Thread","is our libya al madar ss7 route working?..."
"2025-12-09","jadyahya_51832","Other","monty","SIM","@24x7 why is uzbek sim rejecting for","Resolved","why is uzbek sim rejecting for monty sim..."
"2025-12-08","razved4ik.","Testing","N/A","SS7","@Roman Luzko Croatia and Norway we have","Resolved","Croatia and Norway we have working SS7?..."
"2025-12-08","oleg_93830","Check","Samples","Support","No Thread","Pending","@24x7 pls check..."
"2025-12-08","kate03646","Check","Samples","Fake","@24x7 pls check","Resolved","pls check 2025-12-07 21:18:05   690b27cc-3cb1-9e36-14e4-d1f75dc1e770   MNinfo   998500532445   Fake ..."
"2025-12-08","dariakornitska","Check","Samples","Fake","@24x7 check for teways france pls","Resolved","check for teways france pls 33698756559 33758146827 33755452652     traffic paused due to fake issue..."
"2025-12-08","nihigos","Maintenance Notification","Ticket","Notification","[VXT-763-98223](http://hd.xgsm.org/staff","In Thread","[VXT-763-98223](http://hd.xgsm.org/staff/index.php?/Tickets/Ticket/View/36731/inbox/4/1/-1) [VXT-888..."
"2025-12-08","jadyahya_51832","Other","worldfax","General Request","@24x7 how much tps we have opened for","Resolved","how much tps we have opened for worldfax..."
"2025-12-07","marhaba7177","Other","General Support","Support","No Thread","Pending","@24x7 pls ping plum and pear what..."
"2025-12-07","dariakornitska","Other","66bulk","General Request","@Daria Kornitska 66bulk - Austria","In Thread","66bulk - Austria..."
"2025-12-05","kate03646","Add","Email","Rate","@24x7  team please add mailto:elina@","In Thread","team please add mailto:elina@topying.net to cc for rates notifications to topying..."
"2025-12-05","peperohka","Check","Samples","Support","No Thread","Pending","@24x7   please check with Nalia on..."
