"Date","Author","Action","Object","Case","Status (Main)","Following request (Second Msg)","Status (Second Msg)","Original Message"
"2026-01-05","serhii_labur","Add","Email","Rate","In Thread","N/A","N/A","<@&1419360873071382639> please add for partner LMS email for rate notifications - yogesh.parab@lms.n..."
"2026-01-05","kate03646","Ask","Screenshot","General Request","Pending","N/A","N/A","@24x7  please ask LT for ss..."
"2026-01-05","kate03646","Add","Email","Ticket","In Thread","N/A","N/A","<@&1419360873071382639>  please add yulia.kapuciian@qoolize.com     to all rn, tt for qoolize..."
"2026-01-05","kate03646","Test","Screenshot","Testing","Resolved","N/A","N/A","<@&1419360873071382639>  please ask LT for ss  12500 12501 12502 12503 12504 it-decision just tested..."
"2026-01-05","serhii_labur","Add","Email","Rate","In Thread","N/A","N/A","<@&1419360873071382639>  please add for partner Mobeep email for rate notifications - shubham@mobeep..."
"2026-01-05","dariakornitska","Other","Phone Number","DLR","Resolved","N/A","N/A","<@&1419360873071382639> what happend to malawi? 0 dlr..."
"2026-01-05","jadyahya_51832","Assign","Carriers","General Request","Resolved","N/A","N/A","<@&1419360873071382639> please assign the following to me :  macropyre broadnet chatlinks sigma..."
"2025-12-10","dariakornitska","Migration","Phone Number","Ticket","In Thread","N/A","N/A","<@1014788245244104757> [VXT-373-41242         ](http: //hd.xgsm.org/staff/index.php?/Tickets/Ticket/..."
"2025-12-10","jadyahya_51832","Block","Carriers","Spam/Block","Resolved","N/A","N/A","<@&1419360873071382639> please block vr telecom as client..."
"2025-12-10","jadyahya_51832","Test","Route","Route","In Thread","N/A","N/A","<@&1419360873071382639> please share with me uzbek numbers for testing the sim route..."
"2025-12-09","kate03646","Add","Phone Number","Fake","Resolved","N/A","N/A","<@&1419360873071382639>    пліз перевірте бистренбко з вендорами знов якась муть з цим узбеком (  от..."
"2025-12-09","peperohka","Other","Tech nexa","Support","In Thread","N/A","N/A","Tech nexa - russia - expired..."
"2025-12-09","dariakornitska","Ask","Prefix","Prefix","In Thread","N/A","N/A","<@&966701229407367212> give me prefix pls for serbia telecom..."
"2025-12-09","peperohka","Other","General Support","Support","Pending","N/A","N/A","@24x7 why is uzbek sim rejecting for..."
